"Empresa compra","Empresa Vende","Año","Mes","Energía Punta","Energía Valle","Energía Noche","Potencia Compra Punta","Potencia Compra Valle","Potencia Compra Noche","Energía Peaje","Tipo","Importe kwh Punta","Importe kwh Valle","Importe kwh Noche","Importe kw Punta","Importe kw Valle","Importe kw Noche","Importe Peaje","Importe Ajustes","Importe Total","Costos CVG","Energía Fuera Punta","Energía kwh Fuera Punta","Planta","Importe kw Fuera Punta","Potencia Fuera Punta","Impuesto IVA"
"COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Enero     ","487736.14","","","","","","","","29639725.41","","","","","","","","141601572.96","","2459618.8","","Central Sigifredo Solís S","111961847.55","",""
"COOPERATIVA DE ELECTRIFICACION RURAL LOS SANTOS R.L.","Consorcio Nacional de Empresas de Electrificación de Costa Rica R.L.","2025","Enero     ","454282.17","662000.84","691046.2","","","","","510.66","17927013.07","19974440.87","16545579.09","","","","","","54447033.03","","","","SAN LORENZO","","",""
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","AEROENERGIA S.A.","2025","Enero     ","388407.7","1013657.74","1006876.82","","","","","523.29","12194991.92","31826217.526","31613314.268","","","","","","75634523.714","","","","AEROENERGÍA","","","9832488.083"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Azucarera El Viejo S. A.","2025","Enero     ","1090187.048","3046786.63","2943004.46","","","","","523.29","62891562.151","175446584.825","169681294.742","","","","","","408019441.718","","","","EL VIEJO","","","53042527.423"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Consorcio Eólico Chiripa S.A.","2025","Enero     ","4991089.51","13340806.25","13086610.43","","","","","523.29","339532341.796","907544358.792","890252010.494","","","","","","2137328711.082","","","","CHIRIPA","","","277852732.441"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","El Ángel S.A.","2025","Enero     ","","","","","","","","523.29","","","","","","","","","","","","","EL ÁNGEL","","",""
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Empresa Eléctrica Matamoros S. A.","2025","Enero     ","2124063.15","","","","","","","523.29","68340622.187","","","","","","","","68340622.187","","","","MATAMOROS","","","8884280.884"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","HIDROELÉCTRICA RÍO LAJAS S.A.","2025","Enero     ","","","","","","","","523.29","","","","","","","","","","","","","HIDROELÉCTRICA RÍO LAJAS","","",""
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","HIDROELÉCTRICA CAÑO GRANDE S.A ","2025","Enero     ","281668.86","788575.75","767513.74","","","","","523.29","9452407.052","26463486.974","25756679.171","","","","","","61672573.198","","","","CAÑO GRANDE","","","8017434.516"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","HIDROVENECIA S.A. ","2025","Enero     ","364104.72","1010350.8","995449.68","","","","","523.29","12218842.432","33905947.602","33405886.445","","","","","","79530676.479","","","","HIDROVENECIA","","","10338987.942"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Ingenio Taboga S.A. ","2025","Enero     ","675621.75","1693120.8","1694602.69","","","","","523.29","39376531.153","98663603.159","99084432.977","","","","","","237124567.289","","","","TABOGA","","","30826193.748"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","LA REBECA DE LA MARINA S.A.","2025","Enero     ","2385.432","6116.436","6058.872","","","","","523.29","79889.454","204842.867","202915.016","","","","","","487647.337","","","","REBECA I","","","63394.154"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD","Molinos de Viento del Arenal S. A.","2025","Enero     ","884313.74","2431596.342","2074904.391","","","","","523.29","27765152.207","76345802.977","65146603.14","","","","","","169257558.325","","","","TIERRAS MORENAS (MOVASA)","","","22003482.582"
